N;Nombre;Lugar;Tipo;Latitud;Longitud;;;;
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(iglesiacatolicainmaculadaconcepcion),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(iglesiaevangelicaapostolicadelnombredejesus),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(elshaddaiiglesiacristiana),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parroquia5dejunioduran),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(iglesiacatolicasangabrielarcangelduran),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(localiglesiadediosenduran),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(parroquiajesusdelgranpoder),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(asambleadeiglesiascristianascentral),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(iglesiaadventistadel7modialoshelechos),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(concatedralsantuariocatolicodivinonino),
;;;;;;;;;(duran)-[:CIUDAD{distancia:0, recorrido:0}]->(iglesiaduran),
